CIK,broad_bnpl_category,candidate_id,candidate_screening_status,candidate_source,candidate_source_url,category_confidence,company_name,detailed_bnpl_category,exchange,manual_review_required,sec_universe_rank,sic_code,sic_description,ticker
0000056047,Entertainment,CTRL_CAND_0092,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,KIRBY CORP,Gaming & Entertainment,NYSE,True,824,4400,Water Transportation,KEX
0000350698,Automotive,CTRL_CAND_0093,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,HIGH,"AUTONATION, INC.",Automotive,NYSE,False,825,5500,Retail-Auto Dealers & Gasoline Stations,AN
0001653653,Entertainment,CTRL_CAND_0094,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,"Red Rock Resorts, Inc.",Gaming & Entertainment,Nasdaq,True,849,7011,Hotels & Motels,RRR
0000906553,Entertainment,CTRL_CAND_0095,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,BOYD GAMING CORP,Gaming & Entertainment,NYSE,True,864,7011,Hotels & Motels,BYD
0001507079,Home & Appliances,CTRL_CAND_0096,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,HIGH,"Floor & Decor Holdings, Inc.",Home Improvement,NYSE,False,871,5211,Retail-Lumber & Other Building Materials Dealers,FND
0001793659,Entertainment,CTRL_CAND_0097,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,"Rush Street Interactive, Inc.",Gaming & Entertainment,NYSE,False,875,7990,Services-Miscellaneous Amusement & Recreation,RSI
0000040211,Sports & Leisure,CTRL_CAND_0098,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,GATX CORP,Sports & Outdoor,NYSE,False,880,4700,Transportation Services,GATX
0001012019,Automotive,CTRL_CAND_0099,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,HIGH,RUSH ENTERPRISES INC \TX\,Automotive,Nasdaq,False,886,5500,Retail-Auto Dealers & Gasoline Stations,RUSHA
0000003453,Entertainment,CTRL_CAND_0100,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,"Matson, Inc.",Gaming & Entertainment,NYSE,True,892,4400,Water Transportation,MATX
0001590895,Entertainment,CTRL_CAND_0101,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,"Caesars Entertainment, Inc.",Gaming & Entertainment,Nasdaq,True,899,7011,Hotels & Motels,CZR
0001041803,Apparel & Personal Care,CTRL_CAND_0102,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,PRICESMART INC,Clothing & Accessories,Nasdaq,True,904,5331,Retail-Variety Stores,PSMT
0000020212,Entertainment,CTRL_CAND_0103,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,Churchill Downs Inc,Gaming & Entertainment,Nasdaq,False,914,7948,"Services-Racing, Including Track Operation",CHDN
0001345105,Entertainment,CTRL_CAND_0104,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,"Copa Holdings, S.A.",Gaming & Entertainment,NYSE,True,924,4512,"Air Transportation, Scheduled",CPA
0001735707,Automotive,CTRL_CAND_0105,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,Garrett Motion Inc.,Automotive,Nasdaq,False,925,3714,Motor Vehicle Parts & Accessories,GTX
0001852244,Sports & Leisure,CTRL_CAND_0106,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,"GXO Logistics, Inc.",Sports & Outdoor,NYSE,False,926,4700,Transportation Services,GXO
0001722684,Entertainment,CTRL_CAND_0107,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,"WYNDHAM HOTELS & RESORTS, INC.",Gaming & Entertainment,NYSE,True,940,7011,Hotels & Motels,WH
0001495153,Sports & Leisure,CTRL_CAND_0108,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,MakeMyTrip Ltd,Sports & Outdoor,Nasdaq,False,957,4700,Transportation Services,MMYT
0000812011,Entertainment,CTRL_CAND_0109,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,VAIL RESORTS INC,Gaming & Entertainment,NYSE,False,958,7990,Services-Miscellaneous Amusement & Recreation,MTN
0000766421,Entertainment,CTRL_CAND_0110,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,"ALASKA AIR GROUP, INC.",Gaming & Entertainment,NYSE,True,960,4512,"Air Transportation, Scheduled",ALK
0001795250,Entertainment,CTRL_CAND_0111,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,Sphere Entertainment Co.,Gaming & Entertainment,NYSE,False,971,7900,Services-Amusement & Recreation Services,SPHR
0000887596,Entertainment,CTRL_CAND_0112,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,CHEESECAKE FACTORY INC,Gaming & Entertainment,Nasdaq,True,985,5812,Retail-Eating Places,CAKE
0001046311,Entertainment,CTRL_CAND_0113,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,CHOICE HOTELS INTERNATIONAL INC /DE,Gaming & Entertainment,NYSE,True,989,7011,Hotels & Motels,CHH
0000355811,Automotive,CTRL_CAND_0114,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,GENTEX CORP,Automotive,Nasdaq,False,1001,3714,Motor Vehicle Parts & Accessories,GNTX
0001207179,Entertainment,CTRL_CAND_0115,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,GOLAR LNG LTD,Gaming & Entertainment,Nasdaq,True,1004,4400,Water Transportation,GLNG
0001820872,Sports & Leisure,CTRL_CAND_0116,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,"Global Business Travel Group, Inc.",Sports & Outdoor,NYSE,False,1010,4700,Transportation Services,GBTG
0001600033,Apparel & Personal Care,CTRL_CAND_0117,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,HIGH,"e.l.f. Beauty, Inc.",Health & Beauty,NYSE,False,1016,2844,"Perfumes, Cosmetics & Other Toilet Preparations",ELF
0001679049,Entertainment,CTRL_CAND_0118,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,"International Seaways, Inc.",Gaming & Entertainment,NYSE,True,1027,4400,Water Transportation,INSW
0001853717,Entertainment,CTRL_CAND_0119,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,Atour Lifestyle Holdings Ltd,Gaming & Entertainment,Nasdaq,True,1028,7011,Hotels & Motels,ATAT
0001604481,Entertainment,CTRL_CAND_0120,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,CMB.TECH NV,Gaming & Entertainment,NYSE,True,1034,4412,Deep Sea Foreign Transportation of Freight,CMBT
0001760965,Apparel & Personal Care,CTRL_CAND_0121,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,"Kontoor Brands, Inc.",Clothing & Accessories,NYSE,False,1040,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",KTB
0001811935,Apparel & Personal Care,CTRL_CAND_0122,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,Pattern Group Inc.,Clothing & Accessories,Nasdaq,True,1042,5961,Retail-Catalog & Mail-Order Houses,PTRN
0001361658,Entertainment,CTRL_CAND_0123,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,Travel & Leisure Co.,Gaming & Entertainment,NYSE,True,1044,7011,Hotels & Motels,TNL
