CIK,average_gross_margin_pre,average_net_margin_pre,average_operating_margin_pre,average_revenue_growth_pre,baseline_assets,baseline_market_cap_if_available,baseline_revenue,bnpl_control_status,broad_bnpl_category,cash_to_assets_pre,category_confidence,company_name,control_id,detailed_bnpl_category,exchange,expanded_control_sample,gross_margin_pretrend,leverage_pre,log_assets_2019,log_revenue_2019,manual_review_required,match_distance,match_quality,match_rank,matched_treated_CIK,matched_treated_company,operating_margin_pretrend,preferred_control_sample,revenue_pretrend,sic_code,sic_description,size_bucket,ticker
0001467858,0.12173699135939313,0.0332071039941411,0.05072321757770983,-0.04158218466213061,228037000000.0,,137237000000.0,NO_BNPL_EVIDENCE,Automotive,0.08362239461140078,MEDIUM,General Motors Co,CONTROL_0014,Automotive,NYSE,True,-0.0007932202467090903,0.7984669154567022,26.15277373343652,25.644975195181562,True,1.9660604642597503,LOW,1,0000016988,CANON INC,-0.0002936032058775729,True,-0.0070839393078091645,3711,Motor Vehicles & Passenger Car Bodies,Large-scale revenue proxy,GM
0000898173,0.5286162388091972,0.1339602466886826,0.1903660700959446,0.05698837206731381,10717160000.0,,10149985000.0,NO_BNPL_EVIDENCE,Automotive,0.003770215243590653,HIGH,O REILLY AUTOMOTIVE INC,CONTROL_0015,Automotive,Nasdaq,True,0.0006091163017929264,,23.095112032117008,23.040738064600603,False,0.06458972882941842,HIGH,1,0000866787,AUTOZONE INC,-0.00023883078756847237,True,0.014416632461316112,5531,Retail-Auto & Home Supply Stores,Large-scale revenue proxy,ORLY
0000068505,0.4796727589094145,0.0668995740146069,0.18058378637949235,0.09437111401076878,10642000000.0,,7887000000.0,NO_BNPL_EVIDENCE,Electronics & Technology,0.09406126667919563,LOW,"Motorola Solutions, Inc.",CONTROL_0016,Phones & Smartwatches,NYSE,True,0.0017380946408925536,,23.08807427312059,22.788481671362266,True,0.9872138422786838,MEDIUM,1,0000789019,MICROSOFT CORP,0.002375989958028997,True,0.02462581286114734,3663,Radio & Tv Broadcasting & Communications Equipment,Mid-scale revenue proxy,MSI
0001585689,,0.10585046203087733,0.1617230238843048,-0.07612966021170677,14957000000.0,,9452000000.0,NO_BNPL_EVIDENCE,Entertainment,0.035969780036103495,LOW,Hilton Worldwide Holdings Inc.,CONTROL_0017,Gaming & Entertainment,NYSE,True,,1.0315571304405964,23.4284452546236,22.969492196271073,True,0.5406675413795133,HIGH,1,0001048286,MARRIOTT INTERNATIONAL INC /MD/,-0.0003360072804892125,True,-0.015181226806834834,7011,Hotels & Motels,Mid-scale revenue proxy,HLT
0000075362,,0.09055444967767233,,0.150721700579449,28361100000.0,,25599700000.0,NO_BNPL_EVIDENCE,Automotive,,MEDIUM,PACCAR INC,CONTROL_0018,Automotive,Nasdaq,True,,,24.068284324882118,23.96584646961326,True,0.9288911142664392,LOW,1,0000823768,WASTE MANAGEMENT INC,,True,0.022109561390101964,3711,Motor Vehicles & Passenger Car Bodies,Large-scale revenue proxy,PCAR
0001645590,0.3980502200756908,0.05414607883696789,0.03372398296082989,0.09087192245057589,51803000000.0,,29135000000.0,NO_BNPL_EVIDENCE,Electronics & Technology,0.0724475416481671,MEDIUM,Hewlett Packard Enterprise Co,CONTROL_0019,Computers & Tablets,NYSE,True,-0.04014291255497945,0.2755824952222844,24.67071389959275,24.09520603754145,True,1.709264155170077,LOW,1,0001577552,Alibaba Group Holding Ltd,-0.0014335346449540706,True,-0.04034337339682196,3570,Computer & office Equipment,Large-scale revenue proxy,HPE
0000037996,0.14920646785905872,,-0.007055961070559611,0.02568552037106777,258537000000.0,,155900000000.0,NO_BNPL_EVIDENCE,Automotive,0.0677040423614415,MEDIUM,FORD MOTOR CO,CONTROL_0020,Automotive,NYSE,True,0.0016083258974044106,0.8714690740590322,26.27830465411456,25.772480613010142,True,1.120127260599543,LOW,1,0000899051,ALLSTATE CORP,,True,0.009170476214815747,3711,Motor Vehicles & Passenger Car Bodies,Large-scale revenue proxy,F
0000815556,0.4825269398898222,0.143728079356509,0.1999646972408949,0.10460961806637671,3799900000.0,,5333700000.0,NO_BNPL_EVIDENCE,Home & Appliances,0.04602752704018527,HIGH,FASTENAL CO,CONTROL_0021,Home Improvement,Nasdaq,True,-0.0019325659378061823,,22.05824058754301,22.39731101815491,False,0.9115212633100348,MEDIUM,1,0000354950,"HOME DEPOT, INC.",-0.0009232200553088667,True,0.020844996301833826,5200,"Retail-Building Materials, Hardware, Garden Supply",Mid-scale revenue proxy,FAST
0000936395,0.4321697939837639,0.12059323623174784,0.07773895070790987,0.10729034583161343,3893346000.0,,3572131000.0,NO_BNPL_EVIDENCE,Electronics & Technology,0.2322025835874849,LOW,CIENA CORP,CONTROL_0022,Phones & Smartwatches,NYSE,True,-0.0009708216787880816,0.4419296409823324,22.08253477909775,21.996428173420323,True,0.2957199085188307,HIGH,1,0001032975,LOGITECH INTERNATIONAL S.A.,0.003552376728030639,True,0.02558244864550798,3661,Telephone & Telegraph Apparatus,Mid-scale revenue proxy,CIEN
0001058090,,0.056506854158047556,0.07315019548482345,0.14586855422050649,5104604000.0,,5586369000.0,NO_BNPL_EVIDENCE,Entertainment,0.09415539383662279,LOW,CHIPOTLE MEXICAN GRILL INC,CONTROL_0023,Gaming & Entertainment,NYSE,True,,0.6702925437507004,22.353408714545438,22.443595360289812,True,0.9780815562271152,LOW,1,0001037038,RALPH LAUREN CORP,,True,,5812,Retail-Eating Places,Mid-scale revenue proxy,CMG
0001041061,0.7541391728067968,0.2312208872941465,0.37813434494346954,-0.2473075153959275,5231000000.0,,5597000000.0,NO_BNPL_EVIDENCE,Entertainment,0.11565666220607915,LOW,YUM BRANDS INC,CONTROL_0024,Gaming & Entertainment,NYSE,True,0.054584876185847064,2.5324029822213725,22.377868301334885,22.445496576855632,True,2.65,REVIEW,1,0001337634,"StubHub Holdings, Inc.",0.017390974915405453,True,-0.0655122438076672,5812,Retail-Eating Places,Mid-scale revenue proxy,YUM
0000100517,,0.05876688677563499,0.0906877110194481,0.05490506464005536,52611000000.0,,43259000000.0,NO_BNPL_EVIDENCE,Entertainment,0.052498526924027296,LOW,"United Airlines Holdings, Inc.",CONTROL_0025,Gaming & Entertainment,Nasdaq,True,,,24.686191060301677,24.49047114116161,True,0.035648015844496235,HIGH,1,0000006201,American Airlines Group Inc.,-0.0021881517856857167,True,0.010995744093923485,4512,"Air Transportation, Scheduled",Large-scale revenue proxy,UAL
0000815097,0.39105200243465127,0.1423702834012278,0.1536394682320101,0.09046696080252363,45058000000.0,,20825000000.0,NO_BNPL_EVIDENCE,Entertainment,0.011496293665941675,LOW,Carnival Corp Ltd.,CONTROL_0026,Gaming & Entertainment,NYSE,True,-0.003972024756934892,,24.531216385701363,23.75942002499932,True,0.26634395570022684,HIGH,1,0000086312,"TRAVELERS COMPANIES, INC.",-0.003630687630948264,True,0.016858085222029407,4400,Water Transportation,Large-scale revenue proxy,CCL
